Name,Maintained,CodeReview,Criticality
github.com/zloirock/core-js,10,0,662
github.com/ckeditor/ckeditor5,10,1,395
github.com/mockito/mockito,10,2,398
github.com/codecombat/codecombat,10,4,952
github.com/splitbrain/dokuwiki,10,1,988
github.com/jeremylong/DependencyCheck,10,8,781
github.com/obsproject/obs-studio,10,2,494
github.com/tinymce/tinymce,10,9,515
github.com/salesagility/SuiteCRM,10,8,908
github.com/hashicorp/vagrant,10,5,476
github.com/jasmine/jasmine,10,0,719
github.com/netbox-community/netbox,10,0,562
github.com/libretro/RetroArch,10,0,356
github.com/openvswitch/ovs,10,0,560
github.com/phalcon/cphalcon,10,10,440
github.com/discourse/discourse,10,10,496
github.com/appwrite/appwrite,10,10,851
github.com/openmrs/openmrs-core,10,0,773
github.com/galaxyproject/galaxy,10,5,145
github.com/laravel/laravel,10,1,165
github.com/NervJS/taro,10,10,641
github.com/gitextensions/gitextensions,10,9,873
github.com/rancher/rancher,10,10,208
github.com/JedWatson/react-select,10,10,894
github.com/RIOT-OS/RIOT,10,10,402
github.com/wekan/wekan,10,0,458
github.com/mne-tools/mne-python,10,4,898
github.com/diffplug/spotless,10,0,309
github.com/solidusio/solidus,10,10,703
github.com/encode/django-rest-framework,10,2,310
github.com/freebsd/freebsd-src,10,0,612
github.com/gluster/glusterfs,10,10,466
github.com/fwupd/fwupd,10,7,616
github.com/sagemath/sage,10,0,895
github.com/Azure/azure-sdk-for-java,10,10,405
github.com/rust-lang/libc,10,9,257
github.com/github/docs,10,10,542
github.com/trustwallet/assets,10,6,716
github.com/geoserver/geoserver,10,4,684
github.com/wordpress-mobile/WordPress-Android,10,10,404
github.com/nock/nock,8,10,726
github.com/TypeStrong/typedoc,10,1,677
github.com/fish-shell/fish-shell,10,0,608
github.com/python/typeshed,10,7,672
github.com/matomo-org/matomo,10,7,660
github.com/cakephp/cakephp,10,0,73
github.com/cockroachdb/cockroach,10,9,77
github.com/GoogleChrome/lighthouse,10,10,940
github.com/Cacti/cacti,10,0,754
github.com/spdk/spdk,10,10,513
github.com/jenkinsci/jenkins,10,9,71
github.com/openshift/oc,10,10,870
github.com/numba/numba,10,10,468
github.com/trilinos/Trilinos,10,9,467
github.com/doxygen/doxygen,10,0,876
github.com/jquery/jquery,10,8,707
github.com/ant-design/ant-design-mobile,10,8,868
github.com/hakimel/reveal.js,10,0,632
github.com/google/go-github,10,9,676
github.com/testcontainers/testcontainers-java,10,6,637
github.com/trinodb/trino,10,8,465
github.com/sveltejs/svelte,10,5,400
github.com/kamailio/kamailio,10,0,871
github.com/googleapis/google-cloud-ruby,10,9,601
github.com/nextcloud/android,10,4,455
github.com/nuxeo/nuxeo,10,8,887
github.com/vercel/next.js,10,6,153
github.com/web-platform-tests/wpt,10,9,50
github.com/stylelint/stylelint,10,7,301
github.com/react-hook-form/react-hook-form,10,0,835
github.com/openstack/nova,10,0,441
github.com/open-telemetry/opentelemetry-collector,10,10,739
github.com/apache/shardingsphere,10,10,734
github.com/zio/zio,10,10,846
github.com/openzfs/zfs,10,4,499
github.com/MicrosoftDocs/visualstudio-docs,10,0,341
github.com/apache/arrow,10,8,177
github.com/yargs/yargs,8,9,733
github.com/gradle/gradle,10,3,59
github.com/github/codeql,10,10,595
github.com/theforeman/foreman,10,10,580
github.com/scylladb/scylla,10,2,642
github.com/silverstripe/silverstripe-framework,10,7,880
github.com/haproxy/haproxy,10,0,396
github.com/MetaMask/metamask-extension,10,10,534
github.com/postcss/postcss,10,0,464
github.com/getgrav/grav,10,0,532
